position,code,media,bucket,school
312,DJ9447371,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
313,DJ9588052,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
314,DJ12224156,9.32,FAR_RURAL,"ȘCOALA GIMNAZIALĂ CĂLĂRAȘI"
315,DJ8625161,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ELENA FARAGO"" CRAIOVA"
316,DJ9206265,9.32,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
317,DJ9451305,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
318,DJ9769789,9.32,FAR_TOWN,"ȘCOALA GIMNAZIALĂ FILIAȘI"
319,DJ8199677,9.32,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
320,DJ8877311,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
321,DJ9447817,9.32,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
322,DJ10948997,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TERRAVEDA"" CRAIOVA"
323,DJ9451995,9.32,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
324,DJ8896508,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
325,DJ9191860,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
326,DJ269851,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
327,DJ9146336,9.30,FAR_TOWN,"LICEUL TEORETIC ""CONSTANTIN BRÂNCOVEANU"" DĂBULENI"
328,DJ12616699,9.30,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
329,DJ8629173,9.30,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
330,DJ9437499,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE BIBESCU"" CRAIOVA"
331,DJ12124693,9.30,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
332,DJ9432058,9.30,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
333,DJ9451344,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
334,DJ10948419,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
335,DJ203651,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
336,DJ263301,9.30,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
337,DJ8250501,9.30,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
338,DJ9436766,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
339,DJ8874571,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
340,DJ9443697,9.30,CRAIOVA,"LICEUL TEORETIC ""HENRI COANDĂ"" CRAIOVA"
341,DJ279451,9.30,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
342,DJ9343173,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI EMINESCU"" CRAIOVA"
343,DJ8755501,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
344,DJ8417526,9.30,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
345,DJ8238347,9.30,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
346,DJ9191178,9.30,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
347,DJ12345866,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
348,DJ9091272,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
349,DJ9494748,9.27,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
350,DJ8187282,9.27,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
351,DJ8673458,9.27,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
352,DJ10004629,9.27,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 5 ""AV. P. IVANOVICI"" BĂILEȘTI"
353,DJ9491203,9.27,FAR_RURAL,"ȘCOALA GIMNAZIALĂ SADOVA"
354,DJ12081900,9.27,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
355,DJ12092433,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
356,DJ12559606,9.27,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
357,DJ12616168,9.27,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
358,DJ9207722,9.27,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
359,DJ9456010,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
360,DJ9501665,9.27,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ COȚOFENII DIN DOS"
361,DJ9706197,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
362,DJ10948631,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
363,DJ12614915,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
364,DJ9321792,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
365,DJ8629097,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
